FF_NDB,SR_NDB,food_category_id,FF Food description,SR Food description,Nutrient_id,rank,FF_Component,SR_Component,unit_name,SR Mean per 100g,SR Min,SR Max, Std_Error,SR Num_Data_pts,FF Mean per 100g,FF Min,FF Max,FF Median,FF data_points,FF Publication Date
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1087,5300,"Calcium, Ca","Calcium, Ca",MG,122,,,0.946,4,132,118,153,129,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1092,5700,"Potassium, K","Potassium, K",MG,156,149,167,0.764,26,167,151,186,160,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1227,18000,Serine,Serine,G,0.203,,,,0,0.202,0.17,0.24,0.205,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1214,16700,Lysine,Lysine,G,0.282,,,,0,0.302,0.25,0.37,0.3,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1014,2000,Maltose,Maltose,G,0,0,0,0,12,0,0,0,0,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1005,1110,"Carbohydrate, by difference","Carbohydrate, by difference",G,4.96,,,,0,4.92,,,,,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1258,9700,"Fatty acids, total saturated","Fatty acids, total saturated",G,0.056,,,,0,0.049,0.03,0.09,0.045,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1008,300,Energy,Energy,KCAL,34,,,,0,34,,,,,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1051,100,Water,Water,G,90.84,90.58,91,0.032,12,90.8,89.3,92.8,90.8,24,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1224,17700,Glutamic acid,Glutamic acid,G,0.757,,,,0,0.832,0.71,1.01,0.81,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1107,7440,"Carotene, beta","Carotene, beta",UG,0,,,,0,2,0,5,0,6,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1063,1500,"Sugars, Total","Sugars, total",G,5.09,4.67,5.27,0.048,12,5.05,,,,,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1062,400,Energy,Energy,kJ,143,,,,0,144,,,,,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1253,15700,Cholesterol,Cholesterol,MG,2,,,0.07,4,3,2,3,3,24,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1127,8200,"Tocopherol, delta","Tocopherol, delta",MG,0,0,0,0,12,0,0,0,0,6,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1106,7420,"Vitamin A, RAE","Vitamin A, RAE",UG,61,,,,0,64,,,,,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1130,8500,"Tocotrienol, gamma","Tocotrienol, gamma",MG,0,0,0,0,12,0,0,0,0,6,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1225,17800,Glycine,Glycine,G,0.067,,,,0,0.071,0.06,0.08,0.07,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1110,8650,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,47,5,74,2.431,24,44,,,,,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1091,5600,"Phosphorus, P","Phosphorus, P",MG,101,51,104,0.424,39,107,97,122,106,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1210,16300,Tryptophan,Tryptophan,G,0.043,,,,0,0.048,0.04,0.06,0.05,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1013,1900,Lactose,Lactose,G,5.09,4.67,5.27,0.048,12,5.05,4.72,5.58,5.01,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1198,7290,Betaine,Betaine,MG,1.9,,,,1,0.9,0.6,1.6,0.8,6,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1003,600,Protein,Protein,G,3.37,3.27,3.67,0.032,12,3.43,3,4.15,3.41,,12/16/2019
