FF_NDB,SR_NDB,food_category_id,FF Food description,SR Food description,Nutrient_id,rank,FF_Component,SR_Component,unit_name,SR Mean per 100g,SR Min,SR Max, Std_Error,SR Num_Data_pts,FF Mean per 100g,FF Min,FF Max,FF Median,FF data_points,FF Publication Date
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1114,8700,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,7.5,,,,2,7.5,,,,,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1129,8400,"Tocotrienol, beta","Tocotrienol, beta",MG,0.02,0.01,0.02,,2,0.01,0.01,0.02,0.01,2,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1051,100,Water,Water,G,39.61,38.4,40.8,0.105,13,39.6,38.4,40.8,39.6,13,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1005,1110,"Carbohydrate, by difference","Carbohydrate, by difference",G,4.78,,,,0,5.27,,,,,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1131,8600,"Tocotrienol, delta","Tocotrienol, delta",MG,0.08,0,0.09,,2,0.04,0,0.09,0.04,2,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1183,8950,Vitamin K (Menaquinone-4),Menaquinone-4,UG,14.1,5.4,15.2,,2,10.3,5.4,15.2,10.3,2,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1167,6600,Niacin,Niacin,MG,0.076,0.07,0.12,,2,0.095,0.07,0.12,0.095,2,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1253,15700,Cholesterol,Cholesterol,MG,100,92,103,,3,98,92,103,99,3,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1063,1500,"Sugars, Total","Sugars, total",G,2.26,1.22,4.83,0.092,5,2.63,,,,,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1198,7290,Betaine,Betaine,MG,2.7,,,,1,2.7,,,2.7,1,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1007,1000,Ash,Ash,G,6.78,4.59,7.46,0.124,13,6.59,4.59,7.46,7.04,13,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1090,5500,"Magnesium, Mg","Magnesium, Mg",MG,26,23,28,0.182,19,25.1,22.9,27.9,24.6,19,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1095,5900,"Zinc, Zn","Zinc, Zn",MG,2.49,2.1,3.14,0.027,19,2.42,2.1,3.14,2.4,19,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1110,8650,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,301,,,,1,301,,,301,1,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1087,5300,"Calcium, Ca","Calcium, Ca",MG,1045,479,1390,34.6,19,866,479,1390,625,19,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1109,7905,Vitamin E (alpha-tocopherol),Vitamin E (alpha-tocopherol),MG,0.8,0.78,0.8,,2,0.79,0.78,0.8,0.79,2,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1092,5700,"Potassium, K","Potassium, K",MG,132,99,212,3.899,19,149,99,212,138,19,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1111,8710,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),UG,0,,,,1,0,,,0,1,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1103,6200,"Selenium, Se","Selenium, Se",UG,20.2,16.7,23.1,,3,20.4,16.7,23.1,21.5,3,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1010,1600,Sucrose,Sucrose,G,0,0,0,0,5,0,0,0,0,5,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1130,8500,"Tocotrienol, gamma","Tocotrienol, gamma",MG,0.03,0.02,0.11,,2,0.06,0.02,0.11,0.06,2,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1106,7420,"Vitamin A, RAE","Vitamin A, RAE",UG,317,,,,0,300,,,,,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1185,8800,Vitamin K (phylloquinone),Vitamin K (phylloquinone),UG,3.7,2.5,3.9,,2,3.2,2.5,3.9,3.2,2,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1091,5600,"Phosphorus, P","Phosphorus, P",MG,641,336,767,14.828,19,540,336,767,571,19,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1093,5800,"Sodium, Na","Sodium, Na",MG,1671,1270,1890,21.213,19,1660,1270,1890,1700,19,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1062,400,Energy,Energy,kJ,1531,,,,0,1530,,,,,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1075,2100,Galactose,Galactose,G,0.11,0.07,0.2,0,5,0.13,0.07,0.2,0.16,5,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1127,8200,"Tocopherol, delta","Tocopherol, delta",MG,0.04,0.04,0.04,,2,0.04,0.04,0.04,0.04,2,4/1/2019
1009,1009,1,"Cheese, cheddar","Cheese, cheddar",1089,5400,"Iron, Fe","Iron, Fe",MG,0.14,0.13,0.16,0.006,39,0.16,0.1,0.28,0.14,41,4/1/2019
1009,1009,1,"Cheese, cheddar","Cheese, cheddar",1092,5700,"Potassium, K","Potassium, K",MG,76,75,79,1.669,39,77,58,94,77,41,4/1/2019
